x,y
-1.2586427,0.84380275
-1.2620881,0.82971764
-1.2651485,0.8158367
-1.2675911,0.8035664
-1.2695296,0.792775
-1.2715284,0.78011864
-1.2733434,0.7667607
-1.2748892,0.7530396
-1.2759111,0.74257785
-1.2769972,0.72857505
-1.277704,0.7156023
-1.278078,0.7039635
-1.2782696,0.6907932
-1.2781541,0.6767352
-1.2777816,0.66365516
-1.2772188,0.65171576
-1.2762349,0.6369958
-1.2748815,0.62234205
-1.2737212,0.61170655
-1.2722712,0.6002628
-1.2701052,0.5856761
-1.2674999,0.57107604
-1.2650871,0.55886877
-1.2620686,0.5451597
-1.2585566,0.5308472
-1.2547659,0.5169415
-1.2514441,0.5057265
-1.2481891,0.49537885
-1.2446568,0.484576
-1.240743,0.47335565
-1.2362454,0.46126956
-1.231219,0.44854286
-1.226478,0.43710595
-1.2210572,0.42457882
-1.2153342,0.41201928
-1.2095236,0.39974925
-1.2034156,0.3875805
-1.1972361,0.37577522
-1.1916548,0.36539283
-1.1853912,0.35408318
-1.1798128,0.3443163
-1.1734911,0.33364677
-1.1657329,0.32105866
-1.1555707,0.30536026
-1.1458098,0.290899
-1.137588,0.2787775
-1.1300195,0.26774448
-1.1234039,0.25810066
-1.1175683,0.24961627
-1.1103137,0.23914613
-1.1029698,0.22862294
-1.0953954,0.21775764
-1.0883981,0.2077684
-1.0822502,0.19906367
-1.0744618,0.18820277
-1.0661291,0.17663305
-1.0586867,0.16635904
-1.0498567,0.15429848
-1.0432334,0.1453545
-1.0360147,0.13568315
-1.027414,0.12427082
-1.0185391,0.112590425
-1.0094012,0.10069078
-1.0002054,0.08884058
-0.9906919,0.07675287
-0.98302644,0.06711996
-0.97494864,0.05709004
-0.9667609,0.047071803
-0.96000826,0.038904417
-0.9512524,0.028463053
-0.9432303,0.019011222
-0.9357583,0.010288686
-0.9293221,0.002846946
-0.9218051,-0.0057511074
-0.9140969,-0.014444731
-0.9054452,-0.02407001
-0.8973406,-0.032972876
-0.8882237,-0.04284391
-0.8801961,-0.051429234
-0.8724897,-0.05956256
-0.86274594,-0.069739796
-0.85288066,-0.079909936
-0.84058577,-0.09245552
-0.8309152,-0.10216685
-0.8233114,-0.10966796
-0.8145967,-0.11817437
-0.8043949,-0.12795034
-0.79369664,-0.13805051
-0.7854054,-0.14576545
-0.7758572,-0.15447807
-0.76783764,-0.16169384
-0.75888115,-0.16960415
-0.7490274,-0.1781318
-0.7380542,-0.18742748
-0.72626656,-0.19724053
-0.7158418,-0.20573567
-0.7053951,-0.21411008
-0.69749504,-0.22034173
-0.6906156,-0.22569928
-0.6803755,-0.23350574
-0.6691461,-0.24188718
-0.6596584,-0.24884689
-0.64848953,-0.25683215
-0.63822174,-0.26395908
-0.6265946,-0.27177188
-0.61465377,-0.27951443
-0.60271853,-0.2869813
-0.591456,-0.29384035
-0.58381,-0.2984083
-0.57517344,-0.30344278
-0.5670222,-0.30807513
-0.55675006,-0.31373692
-0.5464315,-0.3192297
-0.5359949,-0.32459518
-0.5260451,-0.32954785
-0.5133706,-0.3356605
-0.50326353,-0.34032762
-0.49124125,-0.3456618
-0.48179334,-0.3497247
-0.47319782,-0.35328645
-0.46396208,-0.35699117
-0.45402965,-0.3608334
-0.44447905,-0.36438832
-0.43415824,-0.36802998
-0.4206969,-0.37249294
-0.40717342,-0.37665036
-0.39783156,-0.3793562
-0.3859948,-0.38258636
-0.37494013,-0.3854213
-0.36397576,-0.38801807
-0.3543148,-0.39014402
-0.34357706,-0.39233938
-0.33276019,-0.39433795
-0.32059324,-0.3963204
-0.30601594,-0.3983465
-0.29368743,-0.39974725
-0.28305814,-0.40070394
-0.26925415,-0.40167332
-0.25590542,-0.40238333
-0.2425369,-0.4027866
